Sunday/Niedziela,17.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,18.01.16,,228,170,,"4,69",,,2531,,11 100,,,,,,,11 100,,,,,,,,,,,,,
Tuesday/Wtorek,19.01.16,,268,250,,"4,80",,,2144,448,8 000,,,,1 670,,,8 000,,"1,7",1 448,,,4,,"1,1",1,"0,2","8,6","6,00",168
Wednesday/Środa,20.01.16,263,197,200,81,"4,69",,,1852,473,9 400,,,,2 400,,,9 400,,"2,4",1 339,,,9,,"1,2",4,"0,3","10,2","6,00",144
Thursday/Czwartek,21.01.16,202,158,206,88,"4,32",,,2054,348,13 000,,,,2 200,,,13 000,,"2,2",1 536,,,98,,"0,6",3,"0,4","11,8","7,60",137
Friday/Piątek,22.01.16,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday/Sobota,23.01.16,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,24.01.16,46,123,165,65,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,25.01.16,530,349,295,56,"5,80",,,2234,646,6 400,2 315,,,1 850,,,6 400,2 315,"1,9",1 053,,,13,,"1,4",4,"0,2","6,4","4,50",96
Tuesday/Wtorek,26.01.16,291,270,200,77,"4,77",,,2700,540,10 000,4 369,,,2 000,,,10 000,4 369,"2,0",1 418,,,96,"94,3","1,2",11,"0,5","10,7","6,40",137
Wednesday/Środa,27.01.16,59,167,200,80,"4,55",,,1804,234,10 800,4 843,,,1 400,,,10 800,4 843,"1,4",1 950,,,102,,"0,8",5,"0,3","13,0","9,60",115
Thursday/Czwartek,28.01.16,266,190,225,67,"4,37","22,6",,1786,418,9 400,3 913,,,2 200,,,9 400,3 913,"2,2",1 907,,,77,"69,0","1,1",4,,"17,2","13,30",124
Friday/Piątek,29.01.16,-77,,,76,"4,52","22,8",,,,10 700,4 026,,,2 000,,,10 700,4 026,"2,0",1 642,,,104,,"1,0",17,,"15,4","12,90",106
Saturday/Sobota,30.01.16,0,,,67,"4,67","23,1",,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,31.01.16,91,117,160,67,"6,06","23,3",,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,01.02.16,281,281,255,64,"5,07","22,7",,2192,506,7 800,2 090,,,1 800,,,7 800,2 090,"1,8",790,,,91,"81,4","5,1",9,,"10,8","7,60",99
Tuesday/Wtorek,02.02.16,389,303,222,64,"4,57","23,0",,3545,606,11 700,4 079,,,2 000,,,11 700,4 079,"2,0",,,,116,,"1,3",14,,"14,5","9,90",99
Wednesday/Środa,03.02.16,129,223,210,74,"4,19","23,3",,2921,624,13 100,5 695,,,2 800,,,13 100,5 695,"2,8",,,,118,,"0,4",12,,"19,0","13,70",86
Thursday/Czwartek,04.02.16,532,335,228,63,"4,27","23,2",,3116,838,9 300,4 464,,,2 500,,,9 300,4 464,"2,5",657,,,98,"84,0","0,9",14,"0,0","14,7",,87
Friday/Piątek,05.02.16,-50,,,86,"4,84","22,6",,,,15 100,4 902,,,2 000,,,15 100,4 902,"2,0",,,,120,,"0,4",18,,"10,2",,
Saturday/Sobota,06.02.16,-40,,73,80,"4,44","22,9",,,,9 300,,,,,,,9 300,,,,,,,,,,,,,
Sunday/Niedziela,07.02.16,0,,,75,"4,12","22,6",,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,08.02.16,282,282,232,75,"4,38","22,3",,,846,,,,,3 000,,,3 800,,"3,0",881,,,107,,"4,1",17,,"14,1",,89
Tuesday/Wtorek,09.02.16,483,428,350,75,"5,50","22,5",,,411,,,,,960,,,4 073,,"1,0",,,,78,,"1,8",,,,,117
Wednesday/Środa,10.02.16,406,449,287,82,"5,39","22,8",,,1257,,,,,2 800,,,4 100,,"2,8",529,,,85,"75,9","0,6",9,"0,1","9,9",,89
Thursday/Czwartek,11.02.16,-58,,117,77,"5,14","23,0",,,,10 400,4 183,,,2 800,,,10 400,4 183,"2,8",538,,,80,"73,0","1,1",5,"2,0","12,9","8,59",82
Friday/Piątek,12.02.16,-108,,200,70,"5,34","22,8",,,,12 700,6 011,,,670,,,6 700,4 741,"0,7",234,,,35,,"0,3",3,"1,1","5,0","2,07",126
Saturday/Sobota,13.02.16,-72,,,57,"4,95","23,3",,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,14.02.16,-1,,,49,"4,70","24,3",,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,15.02.16,420,298,214,49,"5,91","22,8",,2622,566,8 800,2 818,,,1 900,,,8 800,2 818,"1,9",513,,,81,"66,4","4,1",14,"0,6","16,3","12,28",104
Tuesday/Wtorek,16.02.16,293,396,240,63,"6,04","20,7",,6653,99,16 800,6 633,,,250,,,7 500,6 510,"0,3",410,,,84,"76,8","1,4",4,"1,0","12,8","9,98",181
Wednesday/Środa,17.02.16,429,443,194,51,"5,53","21,7",,5981,310,13 500,8 243,,,700,,,8 800,6 291,"0,7",395,,,84,,"0,8",4,"0,3","16,0","11,00",263
Thursday/Czwartek,18.02.16,330,368,133,50,"5,68","22,0",,4858,184,13 200,6 370,,,500,,,8 600,6 458,"0,5",582,,,97,"79,6","0,2",16,"1,7","8,3","4,95",96
Friday/Piątek,19.02.16,-57,,148,45,"4,98","20,8",,,,10 900,6 668,,,100,,,6 600,6 423,"0,1",283,,,68,"47,2","0,1",17,"0,7","4,5","1,90",89
Saturday/Sobota,20.02.16,72,,,38,"5,36","20,7",,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,21.02.16,18,75,91,47,"5,,54","22,2",,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,22.02.16,380,226,191,40,"6,12","21,3",,1763,174,7 800,2 765,,,770,,,7 800,2 765,"0,8",463,,,,,"6,5",3,"1,5","13,9","11,26",132
Tuesday/Wtorek,23.02.16,309,389,224,58,"5,66","20,30",,3968,66,10 200,7 123,,,170,,,5 800,5 285,"0,2",931,,,,,"1,7",2,"0,3","7,5","4,68",271
Wednesday/Środa,24.02.16,396,370,201,49,"5,20","21,6",,5143,278,13 900,7 735,,,750,,,8 600,6 598,"0,8",324,,,,,"0,1",3,"0,0","5,6","2,40",95
Thursday/Czwartek,25.02.16,414,400,299,52,"5,48","21,3",,3920,64,9 800,6 125,,,160,,,5 000,4 463,"0,2",312,,,,,"1,8",1,"0,0","3,8","1,92",96
Friday/Piątek,26.02.16,-2,,290,53,"6,26","22,2",,,,10 000,6 458,,,280,,,6 900,6 143,"0,3",690,,,93,,"1,1",15,"6,2","11,6","9,00",253
Saturday/Sobota,27.02.16,-38,,,53,"4,96","20,5",,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,28.02.16,-49,,,49,"4,77","21,4",,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,29.02.16,337,310,357,43,"4,91","20,8",,4464,78,14 400,4 909,,,250,,,4 200,3 798,"0,3",262,,,104,96.9,"7,2",7,"0,1","10,1","7,20",89
Tuesday/Wtorek,01.03.16,456,416,300,46,"6,97","18,9",,4243,171,10 200,6 230,,,410,,,7 300,5 968,"0,4",,,,86,"71,7",,14,"0,9","16,7","13,70",275
Wednesday/Środa,02.03.16,446,413,301,51,"5,77","19,8",,6195,248,15 000,6 230,,,600,,,7 900,,"0,6",,,,128,"118,9",,9,"0,1","17,0","12,30",207
Thursday/Czwartek,03.03.16,-68,,220,55,"6,22","20,8",,,,14 200,,,,790,,,8 600,,"0,8",,,,96,"79,9",,16,"0,1","17,2","12,20",107
Friday/Piątek,04.03.16,-77,,,47,"4,35","20,5",,,,18 900,,,,280,,,18 900,,"0,3",,,,111,"97,0",,14,"0,0","18,0","15,20",127
